Observation unit ID	Date	TubN_LT20	TubW_LT20	TubN_GE20	TubW_GE20	TubN_total_per_plant	TubW_total_per_plant
WUR:CE-ETH10-1-78-2	2010-12-01	1	7	15	560	16	567
WUR:CE-ETH10-1-78-3	2010-12-01	1	5	5	180	6	185
WUR:CE-ETH10-1-78-4	2010-12-01	5	17	8	220	13	237
WUR:CE-ETH10-1-79-1	2010-12-01	1	4	13	265	14	269
WUR:CE-ETH10-1-79-2	2010-12-01	5	25	6	195	11	220
WUR:CE-ETH10-1-79-3	2010-12-01	3	12	4	170	7	182
WUR:CE-ETH10-1-79-4	2010-12-01	2	10	7	235	9	245
WUR:CE-ETH10-1-80-1	2010-12-01	4	35	9	205	13	240
WUR:CE-ETH10-1-80-2	2010-12-01	4	15	14	585	18	600
WUR:CE-ETH10-1-80-3	2010-12-01	3	15	14	435	17	450
WUR:CE-ETH10-1-80-4	2010-12-01	6	45	10	220	16	265
WUR:CE-ETH10-1-81-1	2010-12-01	4	30	3	180	7	210
WUR:CE-ETH10-1-81-2	2010-12-01					0	0
WUR:CE-ETH10-1-81-3	2010-12-01	2	10	4	165	6	175
WUR:CE-ETH10-1-81-4	2010-12-01	5	60	1	20	6	80
WUR:CE-ETH10-1-82-1	2010-12-01	9	55	13	210	22	265
WUR:CE-ETH10-1-82-2	2010-12-01	9	25	7	195	16	220
WUR:CE-ETH10-1-82-3	2010-12-01	15	130	29	590	44	720
WUR:CE-ETH10-1-82-4	2010-12-01	6	25	10	205	16	230
WUR:CE-ETH10-1-83-1	2010-12-01	3	10	29	120	32	130
WUR:CE-ETH10-1-83-2	2010-12-01	7	45	16	255	23	300
WUR:CE-ETH10-1-83-3	2010-12-01	3	10	14	380	17	390
WUR:CE-ETH10-1-83-4	2010-12-01	4	15	8	160	12	175
WUR:CE-ETH10-1-84-1	2010-12-01	4	20	7	265	11	285
WUR:CE-ETH10-1-84-2	2010-12-01	3	15	7	395	10	410
WUR:CE-ETH10-1-84-3	2010-12-01	5	15	12	395	17	410
WUR:CE-ETH10-1-84-4	2010-12-01	6	40	12	405	18	445
WUR:CE-ETH10-1-85-1	2010-12-01	3	10	7	195	10	205
WUR:CE-ETH10-1-85-2	2010-12-01	2	5	14	340	16	345
WUR:CE-ETH10-1-85-3	2010-12-01	9	45	6	215	15	260
WUR:CE-ETH10-1-85-4	2010-12-01	1	7	8	195	9	202
WUR:CE-ETH10-1-86-1	2010-12-01	15	95			15	95
WUR:CE-ETH10-1-86-2	2010-12-01	20	105	2	45	22	150
WUR:CE-ETH10-1-86-3	2010-12-01	21	145	7	105	28	250
WUR:CE-ETH10-1-86-4	2010-12-01	8	65	10	155	18	220
WUR:CE-ETH10-1-87-1	2010-12-01	7	35	8	195	15	230
WUR:CE-ETH10-1-87-2	2010-12-01	4	20			4	20
WUR:CE-ETH10-1-87-3	2010-12-01	2	10	4	120	6	130
WUR:CE-ETH10-1-87-4	2010-12-01	9	45	7	110	16	155
WUR:CE-ETH10-1-88-1	2010-12-01	35	165	5	120	40	285
WUR:CE-ETH10-1-88-2	2010-12-01	14	65	8	195	22	260
WUR:CE-ETH10-1-88-3	2010-12-01	6	35	3	145	9	180
WUR:CE-ETH10-1-88-4	2010-12-01	10	90	4	120	14	210
WUR:CE-ETH10-1-89-1	2010-12-01	5	30	11	340	16	370
WUR:CE-ETH10-1-89-2	2010-12-01	1	5	4	190	5	195
WUR:CE-ETH10-1-89-3	2010-12-01	6	40	8	195	14	235
WUR:CE-ETH10-1-89-4	2010-12-01	4	15	8	210	12	225
WUR:CE-ETH10-1-90-1	2010-12-01	3	10	3	85	6	95
WUR:CE-ETH10-1-90-2	2010-12-01	1	5	5	90	6	95
WUR:CE-ETH10-1-90-3	2010-12-01			5	105	5	105
WUR:CE-ETH10-1-90-4	2010-12-01	3	10	5	75	8	85
WUR:CE-ETH10-1-91-1	2010-12-01	6	20	12	390	18	410
WUR:CE-ETH10-1-91-2	2010-12-01	3	12	10	210	13	222
WUR:CE-ETH10-1-91-3	2010-12-01	5	25	8	140	13	165
WUR:CE-ETH10-1-91-4	2010-12-01	3	10	8	125	11	135
